geo_code,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_overcrowded_total,pct_occ_minus1,pct_occ_minus2_less,pct_occ_zero,pct_occ_plus1,pct_occ_plus2_more,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,pct_unemployed,pct_employed_total,pct_inactive_total,pct_inactive_sick,pct_self_employed,year
E07000086,Eastleigh,73.52,33.02,40.5,12.29,12.34,0.79,2.46,2.21,0.25,22.76,35.47,39.32,51.37,31.06,14.59,2.78,0.2,17.57,48.63,3.02,69.38,24.62,2.57,9.7,2011
E07000087,Fareham,80.42,39.24,41.18,8.13,9.97,0.88,1.89,1.7,0.2,19.24,34.3,44.56,51.94,31.5,14.01,2.34,0.21,16.56,48.06,2.61,66.92,27.26,2.18,9.31,2011
E07000088,Gosport,65.24,29.39,35.85,16.41,16.31,0.97,3.34,3.02,0.33,28.53,36.88,31.25,43.7,33.74,17.82,4.36,0.38,22.56,56.3,4.24,65.31,27.76,3.6,7.49,2011
E07000089,Hart,78.14,35.51,42.63,7.65,12.07,0.99,2.03,1.81,0.23,16.92,30.92,50.14,58.65,29.01,10.72,1.52,0.1,12.34,41.35,2.38,70.49,24.53,1.35,11.34,2011
E07000090,Havant,68.97,35.41,33.56,19.56,9.91,1.01,3.52,3.17,0.35,25.48,34.11,36.89,41.55,33.82,18.89,5.15,0.59,24.63,58.45,3.99,62.23,30.89,4.16,9.58,2011
E07000091,New Forest,74.97,43.51,31.46,10.98,12.09,1.33,2.21,2.0,0.21,20.29,35.17,42.33,46.77,33.74,16.41,2.85,0.23,19.49,53.23,2.63,64.31,30.47,2.83,12.02,2011
E07000092,Rushmoor,63.53,23.21,40.32,16.31,17.55,0.83,6.02,5.04,0.99,30.26,33.72,30.0,47.5,32.74,15.47,3.85,0.44,19.77,52.5,3.72,70.8,22.26,2.68,7.97,2011
E07000093,Test Valley,70.34,34.46,35.88,14.39,12.87,1.75,2.33,2.1,0.23,20.24,31.92,45.52,52.31,31.1,13.82,2.56,0.21,16.59,47.69,2.52,68.26,26.59,2.42,10.72,2011
E07000094,Winchester,67.53,34.96,32.56,15.46,14.09,2.02,2.75,2.46,0.3,21.35,30.85,45.05,55.57,29.81,12.11,2.29,0.23,14.62,44.43,2.3,64.0,28.96,2.23,12.19,2011
E07000095,Broxbourne,72.92,32.56,40.36,14.07,11.15,0.75,5.14,4.63,0.51,29.27,32.44,33.15,40.66,34.59,19.8,4.41,0.54,24.74,59.34,4.18,66.21,26.88,2.75,11.66,2011
E07000096,Dacorum,64.86,29.13,35.74,21.76,11.86,0.89,3.2,2.89,0.31,26.85,32.32,37.63,49.59,31.3,15.45,3.29,0.36,19.1,50.41,3.67,68.05,25.49,2.67,11.69,2011
E07000098,Hertsmere,67.62,31.4,36.22,17.43,12.52,1.25,4.75,4.16,0.59,27.73,34.21,33.3,46.69,32.88,16.64,3.5,0.29,20.43,53.31,3.71,66.83,26.68,2.77,13.98,2011
E07000099,North Hertfordshire,65.65,30.32,35.32,19.29,13.09,1.09,2.8,2.51,0.29,24.3,34.33,38.56,51.32,30.81,14.7,2.91,0.26,17.88,48.68,3.44,68.81,25.07,2.38,10.97,2011
E07000102,Three Rivers,72.72,34.15,38.58,15.15,10.56,1.01,3.6,3.26,0.34,25.14,33.71,37.54,50.83,31.15,14.64,3.08,0.3,18.02,49.17,3.18,68.32,25.88,2.27,13.68,2011
E07000103,Watford,61.63,24.41,37.22,16.32,20.09,0.79,6.72,5.75,0.97,35.54,32.09,25.65,45.68,33.24,16.41,4.12,0.56,21.08,54.32,4.06,69.11,23.41,2.68,10.4,2011
E07000105,Ashford,68.4,31.81,36.59,14.47,14.33,1.46,2.91,2.55,0.36,22.13,34.55,40.41,46.77,32.5,16.96,3.44,0.33,20.74,53.23,3.63,65.94,27.37,3.12,11.87,2011
E07000106,Canterbury,66.0,35.51,30.49,12.19,19.54,1.45,3.47,3.1,0.37,25.44,36.95,34.13,44.1,33.4,18.08,3.95,0.46,22.49,55.9,3.05,53.63,36.24,3.32,9.64,2011
E07000107,Dartford,66.91,27.47,39.44,14.84,15.93,0.98,4.75,4.3,0.45,30.81,34.93,29.52,43.85,33.91,17.8,4.03,0.41,22.24,56.15,4.4,68.27,24.55,2.98,9.81,2011
E07000108,Dover,66.53,35.26,31.27,14.21,17.09,1.67,3.04,2.62,0.43,24.9,37.13,34.93,40.37,33.54,20.67,4.92,0.49,26.09,59.63,4.46,60.55,32.57,4.45,9.82,2011
E07000109,Gravesham,64.55,30.69,33.86,17.33,16.14,1.22,5.31,4.53,0.78,28.61,33.51,32.57,39.45,34.32,20.38,5.32,0.53,26.23,60.55,5.07,63.03,29.09,3.81,9.5,2011
E07000110,Maidstone,70.45,32.92,37.54,12.71,14.59,1.19,3.43,3.01,0.42,23.81,34.82,37.94,47.19,32.31,16.58,3.57,0.35,20.5,52.81,3.4,66.92,27.12,2.74,11.27,2011
E07000111,Sevenoaks,72.74,37.52,35.21,13.22,10.75,1.59,2.46,2.22,0.25,21.31,32.08,44.15,50.83,31.47,14.63,2.91,0.17,17.7,49.17,2.84,66.42,28.49,2.18,13.62,2011
E07000112,Folkestone and Hythe,64.83,35.34,29.49,11.21,22.2,1.31,3.43,2.98,0.45,27.4,35.46,33.71,38.77,34.58,20.44,5.36,0.84,26.65,61.23,4.59,59.71,32.78,4.86,10.26,2011
E07000113,Swale,68.28,31.38,36.89,14.29,15.19,1.22,3.35,3.01,0.34,24.9,36.43,35.33,40.14,33.11,20.56,5.6,0.6,26.76,59.86,4.6,62.02,31.13,4.44,9.84,2011
E07000114,Thanet,62.02,33.44,28.57,12.66,23.78,1.2,3.56,3.17,0.39,29.16,37.57,29.7,34.3,34.31,24.08,6.53,0.78,31.39,65.7,5.67,56.24,35.13,5.58,10.12,2011
E07000115,Tonbridge and Malling,71.14,32.57,38.57,16.12,10.11,1.13,2.68,2.38,0.29,22.35,33.95,41.02,49.56,31.95,15.05,3.19,0.25,18.49,50.44,2.98,67.24,27.07,2.46,11.3,2011
E07000116,Tunbridge Wells,65.71,32.03,33.68,15.15,16.95,1.39,3.77,3.35,0.41,27.66,31.32,37.25,50.9,31.13,14.23,3.35,0.39,17.97,49.1,2.95,67.67,26.89,2.68,13.57,2011
E07000117,Burnley,65.0,31.46,33.54,14.06,19.35,1.37,4.11,3.5,0.62,26.99,42.48,26.42,36.24,31.31,23.49,8.15,0.81,32.45,63.76,5.27,58.23,33.92,6.99,7.24,2011
E07000118,Chorley,75.21,35.41,39.8,13.01,10.21,0.94,2.11,1.87,0.23,20.19,37.05,40.65,48.05,30.23,17.14,4.24,0.34,21.71,51.95,3.24,65.05,29.15,4.08,9.13,2011
E07000119,Fylde,73.45,40.75,32.7,7.47,17.39,1.3,1.39,1.27,0.12,20.3,38.28,40.02,45.64,32.72,17.51,3.76,0.38,21.64,54.36,3.09,61.02,33.18,3.96,10.43,2011
E07000120,Hyndburn,67.67,33.38,34.29,12.78,18.16,1.15,4.63,3.83,0.8,27.93,43.32,24.13,37.93,31.59,22.66,7.17,0.66,30.49,62.07,4.61,59.4,32.97,6.7,8.11,2011
E07000121,Lancaster,69.18,36.13,33.05,9.97,18.9,1.32,2.52,2.29,0.23,23.62,38.4,35.47,43.95,31.8,18.63,5.08,0.53,24.24,56.05,3.25,56.63,34.88,4.29,8.55,2011
