geo_code,area_name,year,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,latitude,longitude
E06000017,Rutland,2021,70.94,43.65,10.9,16.72,0.05,57.95,31.65,9.16,1.19,0.05,10.39,42.05,52.6583,-0.6393
E06000018,Nottingham,2011,45.09,19.94,29.72,23.07,1.5,34.35,33.86,23.11,7.88,0.8,31.79,65.65,52.9548,-1.1581
E06000018,Nottingham,2021,45.14,22.4,25.49,28.61,0.27,41.59,34.43,18.07,5.62,0.29,23.98,58.41,52.9548,-1.1581
E06000019,"Herefordshire, County of",2011,67.69,39.41,13.92,15.51,1.9,44.01,33.82,17.84,4.0,0.34,22.17,55.99,52.0567,-2.716
E06000019,"Herefordshire, County of",2021,66.36,42.34,13.65,18.84,0.04,49.43,34.64,12.99,2.76,0.18,15.93,50.57,52.0567,-2.716
E06000020,Telford and Wrekin,2011,63.68,27.18,19.68,14.98,1.22,41.73,32.05,20.34,5.51,0.37,26.22,58.27,52.6766,-2.4469
E06000020,Telford and Wrekin,2021,59.95,30.18,18.02,21.17,0.1,45.99,33.89,15.85,4.1,0.16,20.12,54.01,52.6766,-2.4469
E06000021,Stoke-on-Trent,2011,59.43,28.47,24.17,14.35,1.66,33.85,31.58,25.71,8.28,0.59,34.58,66.15,53.0027,-2.1794
E06000021,Stoke-on-Trent,2021,56.75,30.4,22.25,20.29,0.34,41.09,34.95,18.22,5.5,0.24,23.96,58.91,53.0027,-2.1794
E06000022,Bath and North East Somerset,2011,66.75,35.13,14.44,16.93,1.38,49.58,31.43,15.44,3.2,0.36,18.99,50.42,51.3781,-2.3597
E06000022,Bath and North East Somerset,2021,65.28,36.41,14.34,19.32,0.07,54.09,32.17,11.3,2.3,0.14,13.74,45.91,51.3781,-2.3597
E06000023,"Bristol, City of",2011,54.01,24.58,20.29,23.55,1.39,42.38,32.19,19.05,5.71,0.68,25.43,57.62,51.4545,-2.5879
E06000023,"Bristol, City of",2021,53.97,25.15,18.72,26.2,0.25,50.16,31.78,13.83,3.92,0.3,18.06,49.84,51.4545,-2.5879
E06000024,North Somerset,2011,72.95,36.81,9.18,16.17,1.07,47.33,32.19,16.43,3.64,0.41,20.48,52.67,51.3879,-2.7774
E06000024,North Somerset,2021,71.61,39.36,9.21,18.41,0.06,51.51,33.48,12.1,2.71,0.2,15.01,48.49,51.3879,-2.7774
E06000025,South Gloucestershire,2011,74.94,34.45,9.89,13.58,1.14,50.31,31.52,15.08,2.83,0.26,18.17,49.69,51.5266,-2.472
E06000025,South Gloucestershire,2021,72.39,36.6,10.79,15.74,0.04,53.94,32.72,11.15,2.08,0.12,13.35,46.06,51.5266,-2.472
E06000026,Plymouth,2011,58.69,27.23,19.3,20.15,1.09,39.48,33.31,20.28,6.18,0.74,27.2,60.52,50.3755,-4.1427
E06000026,Plymouth,2021,57.65,29.49,18.43,22.63,0.12,45.48,33.96,15.91,4.41,0.25,20.57,54.52,50.3755,-4.1427
E06000027,Torbay,2011,66.81,36.44,8.07,23.21,0.97,36.12,34.51,22.28,6.15,0.94,29.36,63.88,50.4619,-3.525
E06000027,Torbay,2021,64.07,39.15,8.29,26.62,0.03,42.13,35.89,16.85,4.74,0.4,21.99,57.87,50.4619,-3.525
E06000030,Swindon,2011,65.53,25.75,16.28,16.04,0.89,45.48,32.25,17.46,4.39,0.41,22.26,54.52,51.5558,-1.7797
E06000030,Swindon,2021,63.68,29.18,15.59,19.32,0.16,49.29,33.8,13.42,3.3,0.19,16.91,50.71,51.5558,-1.7797
E06000031,Peterborough,2011,59.27,25.85,19.5,19.14,1.16,40.08,33.22,20.55,5.56,0.59,26.7,59.92,52.5695,-0.2405
E06000031,Peterborough,2021,55.47,26.34,18.64,24.38,0.12,45.05,34.91,15.5,4.23,0.3,20.04,54.95,52.5695,-0.2405
E06000032,Luton,2011,60.16,25.06,15.77,22.63,1.05,35.86,35.56,21.79,6.11,0.69,28.59,64.14,51.8787,-0.42
E06000032,Luton,2021,53.94,25.71,16.37,28.99,0.16,41.31,36.44,17.13,4.73,0.4,22.25,58.69,51.8787,-0.42
E06000033,Southend-on-Sea,2011,65.17,30.75,11.51,22.01,0.9,40.0,33.41,19.99,5.87,0.74,26.59,60.0,51.5362,0.7143
E06000033,Southend-on-Sea,2021,61.3,31.56,11.51,26.5,0.05,45.58,34.54,15.29,4.18,0.41,19.88,54.42,51.5362,0.7143
E06000034,Thurrock,2011,66.2,25.5,18.45,14.07,0.8,38.61,34.22,21.41,5.27,0.5,27.17,61.39,51.493,0.353
E06000034,Thurrock,2021,63.31,25.48,17.68,18.28,0.07,45.66,34.94,15.37,3.77,0.26,19.4,54.34,51.493,0.353
E06000035,Medway,2011,67.65,28.9,13.18,17.09,1.03,41.54,33.57,19.13,5.23,0.54,24.89,58.46,51.4048,0.5407
E06000035,Medway,2021,64.71,30.85,13.57,20.18,0.06,46.48,34.46,14.82,3.88,0.35,19.06,53.52,51.4048,0.5407
E06000036,Bracknell Forest,2011,68.48,24.89,16.74,12.5,1.13,53.02,30.32,13.63,2.71,0.31,16.66,46.98,51.4154,-0.7536
E06000036,Bracknell Forest,2021,66.75,28.83,15.7,15.73,0.07,56.37,31.13,10.21,2.13,0.16,12.5,43.63,51.4154,-0.7536
E06000037,West Berkshire,2011,69.67,31.21,13.84,13.72,1.65,53.66,30.22,13.18,2.67,0.26,16.11,46.34,51.4,-1.3167
E06000037,West Berkshire,2021,67.56,34.82,13.96,17.15,0.01,55.99,31.59,10.24,2.05,0.13,12.42,44.01,51.4,-1.3167
E06000038,Reading,2011,54.84,22.62,16.29,26.08,0.99,45.93,32.52,16.42,4.59,0.54,21.55,54.07,51.4543,-0.9781
E06000038,Reading,2021,50.43,22.79,16.14,31.95,0.18,51.24,32.17,12.83,3.47,0.29,16.59,48.76,51.4543,-0.9781
E06000039,Slough,2011,52.7,18.72,20.64,24.32,0.99,34.93,36.32,21.82,6.22,0.72,28.75,65.07,51.5105,-0.595
