geo_code,area_name,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,year
E07000044,South Hams,70.46,45.02,11.83,16.08,0.04,52.99,33.51,11.26,2.11,0.13,13.5,47.01,2021
E07000045,Teignbridge,71.29,43.27,9.52,17.85,0.04,49.42,34.95,12.97,2.48,0.18,15.63,50.58,2021
E07000046,Torridge,69.56,45.54,9.35,20.2,0.03,46.13,35.95,14.74,2.98,0.2,17.92,53.87,2021
E07000047,West Devon,70.96,46.62,10.05,18.24,0.04,49.3,35.19,12.8,2.5,0.21,15.51,50.7,2021
E07000061,Eastbourne,59.7,35.75,13.02,26.57,0.12,43.2,35.96,16.19,4.13,0.52,20.84,56.8,2021
E07000062,Hastings,56.58,31.26,14.27,28.61,0.04,42.04,35.04,17.31,5.13,0.48,22.92,57.96,2021
E07000063,Lewes,71.12,42.4,10.93,16.9,0.11,47.92,35.03,13.68,3.13,0.24,17.05,52.08,2021
E07000064,Rother,72.69,48.44,10.2,16.22,0.01,45.72,36.76,14.52,2.83,0.17,17.52,54.28,2021
E07000065,Wealden,76.97,44.69,8.35,13.48,0.04,52.48,34.26,11.29,1.89,0.08,13.26,47.52,2021
E07000066,Basildon,63.25,30.16,21.23,14.24,0.13,46.17,34.34,15.26,3.94,0.29,19.49,53.83,2021
E07000067,Braintree,67.85,34.26,16.3,15.07,0.05,49.99,34.15,12.99,2.72,0.15,15.86,50.01,2021
E07000068,Brentwood,71.91,36.47,11.32,15.96,0.15,55.45,31.45,10.71,2.21,0.17,13.09,44.55,2021
E07000069,Castle Point,80.07,45.3,5.49,14.01,0.07,43.83,36.8,15.77,3.38,0.21,19.36,56.17,2021
E07000070,Chelmsford,69.96,35.88,13.28,15.55,0.04,54.57,32.23,10.84,2.25,0.12,13.2,45.43,2021
E07000071,Colchester,64.58,32.78,13.28,21.53,0.08,51.36,33.25,12.33,2.88,0.18,15.39,48.64,2021
E07000072,Epping Forest,69.63,35.15,14.65,14.93,0.14,51.11,33.18,12.66,2.86,0.19,15.71,48.89,2021
E07000073,Harlow,53.74,23.04,29.31,15.38,0.24,42.93,35.39,16.77,4.41,0.5,21.68,57.07,2021
E07000074,Maldon,76.19,43.81,11.23,11.75,0.01,49.61,34.72,12.86,2.7,0.1,15.66,50.39,2021
E07000075,Rochford,80.64,43.79,8.07,10.7,0.01,49.41,34.85,13.44,2.15,0.14,15.74,50.59,2021
E07000076,Tendring,71.48,46.71,8.16,19.82,0.07,38.34,37.69,18.91,4.7,0.36,23.97,61.66,2021
E07000077,Uttlesford,70.59,35.66,13.01,14.54,0.07,58.04,30.75,9.49,1.65,0.07,11.21,41.96,2021
E07000078,Cheltenham,63.58,34.71,12.16,23.4,0.11,56.16,30.69,10.61,2.38,0.16,13.15,43.84,2021
E07000079,Cotswold,65.12,39.85,15.35,17.36,0.02,57.01,31.8,9.49,1.64,0.06,11.19,42.99,2021
E07000080,Forest of Dean,72.6,44.24,12.99,13.52,0.03,48.09,34.83,13.99,2.96,0.13,17.08,51.91,2021
E07000081,Gloucester,63.85,31.6,13.6,21.3,0.1,48.94,33.74,13.56,3.48,0.28,17.32,51.06,2021
E07000082,Stroud,72.7,41.14,12.28,13.66,0.16,55.16,32.29,10.36,2.09,0.11,12.55,44.84,2021
E07000083,Tewkesbury,70.75,39.05,12.7,14.27,0.04,55.08,32.42,10.45,1.95,0.11,12.5,44.92,2021
E07000084,Basingstoke and Deane,64.77,30.63,17.89,15.4,0.02,55.04,32.0,10.7,2.15,0.11,12.97,44.96,2021
E07000085,East Hampshire,72.97,39.99,12.53,13.04,0.02,56.99,31.55,9.5,1.85,0.12,11.46,43.01,2021
E07000086,Eastleigh,70.96,35.16,13.05,13.94,0.01,55.16,32.13,10.6,2.02,0.09,12.71,44.84,2021
E07000087,Fareham,78.52,43.49,8.14,12.55,0.08,54.62,33.03,10.61,1.64,0.1,12.35,45.38,2021
E07000088,Gosport,63.61,34.28,16.32,18.69,0.17,46.0,35.67,14.77,3.36,0.2,18.33,54.0,2021
E07000089,Hart,75.72,37.43,8.79,13.62,0.01,60.68,29.77,8.17,1.32,0.06,9.54,39.32,2021
E07000090,Havant,67.92,38.94,18.64,12.42,0.15,45.54,35.35,14.97,3.77,0.38,19.11,54.46,2021
E07000091,New Forest,74.16,46.6,10.79,14.34,0.07,51.45,34.29,11.94,2.15,0.16,14.26,48.55,2021
E07000092,Rushmoor,60.49,25.39,16.2,21.5,0.08,51.09,32.79,12.82,3.08,0.21,16.12,48.91,2021
E07000093,Test Valley,68.94,36.09,14.33,14.75,0.05,55.68,32.0,10.19,2.04,0.1,12.32,44.32,2021
E07000094,Winchester,65.59,36.06,15.35,17.59,0.11,58.31,30.37,9.49,1.73,0.11,11.33,41.69,2021
E07000095,Broxbourne,68.65,33.07,14.26,15.98,0.06,46.49,35.06,14.59,3.52,0.34,18.45,53.51,2021
E07000096,Dacorum,63.92,30.91,21.01,14.34,0.11,53.93,31.79,11.42,2.64,0.22,14.28,46.07,2021
E07000098,Hertsmere,64.19,30.99,17.34,17.27,0.06,51.87,33.15,12.12,2.69,0.18,14.98,48.13,2021
E07000099,North Hertfordshire,64.8,33.37,18.67,15.37,0.02,55.05,31.55,11.03,2.22,0.15,13.4,44.95,2021
E07000102,Three Rivers,70.92,34.75,14.83,13.45,0.05,55.33,31.43,10.81,2.21,0.22,13.24,44.67,2021
E07000103,Watford,55.12,24.17,15.57,28.2,0.04,50.6,33.1,12.85,3.19,0.27,16.31,49.4,2021
E07000105,Ashford,66.43,33.65,14.0,17.73,0.13,49.99,33.75,13.22,2.85,0.2,16.26,50.01,2021
E07000106,Canterbury,64.76,38.37,12.23,21.98,0.11,47.29,34.95,14.23,3.28,0.25,17.76,52.71,2021
E07000107,Dartford,65.65,26.92,13.82,18.11,0.15,52.18,32.13,12.66,2.81,0.22,15.69,47.82,2021
E07000108,Dover,66.22,39.07,13.92,18.98,0.1,45.15,34.98,15.83,3.79,0.25,19.88,54.85,2021
E07000109,Gravesham,62.22,31.2,17.42,19.05,0.24,45.14,35.32,15.3,3.9,0.34,19.54,54.86,2021
E07000110,Maidstone,67.4,33.97,13.35,17.33,0.03,51.54,33.37,12.14,2.72,0.22,15.08,48.46,2021
E07000111,Sevenoaks,71.54,38.29,13.19,13.36,0.04,54.67,31.74,11.02,2.43,0.13,13.58,45.33,2021
E07000112,Folkestone and Hythe,65.8,39.24,10.86,22.49,0.09,44.42,35.46,15.82,3.97,0.33,20.11,55.58,2021
E07000113,Swale,66.97,34.36,13.29,18.35,0.03,44.32,35.21,15.77,4.42,0.28,20.47,55.68,2021
E07000114,Thanet,61.35,36.55,11.89,26.26,0.04,41.15,36.14,17.61,4.68,0.41,22.7,58.85,2021
E07000115,Tonbridge and Malling,70.01,34.31,15.41,12.5,0.02,53.91,32.01,11.51,2.45,0.12,14.08,46.09,2021
