date,area_name,geo_code,total_households,owned_total,owned_outright,owned_mortgage,shared_ownership,Tenure of household: Shared ownership: Shared ownership,social_rented_total,social_council,social_other,private_rented_total,private_rented,private_other,rent_free,pct_date,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_shared_ownership,pct_Tenure of household: Shared ownership: Shared ownership,pct_social_rented_total,pct_social_council,pct_social_other,pct_private_rented_total,pct_private_rented,pct_private_other,pct_rent_free
2021,East Riding of Yorkshire,E06000011,152066,111198,65680,45518,634,634,14280,10874,3406,25732,22171,3561,222,1.33,73.12,43.19,29.93,0.42,0.42,9.39,7.15,2.24,16.92,14.58,2.34,0.15
2021,North East Lincolnshire,E06000012,69826,44584,24373,20211,358,358,9191,2729,6462,15644,14185,1459,49,2.89,63.85,34.91,28.94,0.51,0.51,13.16,3.91,9.25,22.4,20.31,2.09,0.07
2021,North Lincolnshire,E06000013,73172,49396,27829,21567,204,204,10953,5035,5918,12555,10929,1626,64,2.76,67.51,38.03,29.47,0.28,0.28,14.97,6.88,8.09,17.16,14.94,2.22,0.09
2021,York,E06000014,85458,55635,31453,24182,719,719,11924,7152,4772,17084,15209,1875,96,2.36,65.1,36.81,28.3,0.84,0.84,13.95,8.37,5.58,19.99,17.8,2.19,0.11
2021,Derby,E06000015,105651,62369,33384,28985,790,790,19851,11713,8138,22453,20395,2058,188,1.91,59.03,31.6,27.43,0.75,0.75,18.79,11.09,7.7,21.25,19.3,1.95,0.18
2021,Leicester,E06000016,127389,59430,31324,28106,662,662,29495,18748,10747,37437,34549,2888,365,1.59,46.65,24.59,22.06,0.52,0.52,23.15,14.72,8.44,29.39,27.12,2.27,0.29
2021,Rutland,E06000017,16691,11841,7286,4555,233,233,1819,310,1509,2790,2082,708,8,12.11,70.94,43.65,27.29,1.4,1.4,10.9,1.86,9.04,16.72,12.47,4.24,0.05
2021,Nottingham,E06000018,124743,56315,27940,28375,609,609,31796,22854,8942,35688,33039,2649,335,1.62,45.14,22.4,22.75,0.49,0.49,25.49,18.32,7.17,28.61,26.49,2.12,0.27
2021,"Herefordshire, County of",E06000019,82827,54963,35070,19893,916,916,11309,2657,8652,15605,12943,2662,34,2.44,66.36,42.34,24.02,1.11,1.11,13.65,3.21,10.45,18.84,15.63,3.21,0.04
2021,Telford and Wrekin,E06000020,76509,45864,23088,22776,586,586,13784,4966,8818,16197,14694,1503,78,2.64,59.95,30.18,29.77,0.77,0.77,18.02,6.49,11.53,21.17,19.21,1.96,0.1
2021,Stoke-on-Trent,E06000021,110400,62653,33558,29095,404,404,24569,16913,7656,22400,20065,2335,374,1.83,56.75,30.4,26.35,0.37,0.37,22.25,15.32,6.93,20.29,18.17,2.12,0.34
2021,Bath and North East Somerset,E06000022,79250,51733,28855,22878,790,790,11363,3064,8299,15309,13758,1551,55,2.55,65.28,36.41,28.87,1.0,1.0,14.34,3.87,10.47,19.32,17.36,1.96,0.07
2021,"Bristol, City of",E06000023,191638,103420,48199,55221,1656,1656,35879,24977,10902,50213,46271,3942,470,1.05,53.97,25.15,28.82,0.86,0.86,18.72,13.03,5.69,26.2,24.15,2.06,0.25
2021,North Somerset,E06000024,94648,67782,37250,30532,679,679,8714,2003,6711,17420,15541,1879,53,2.14,71.61,39.36,32.26,0.72,0.72,9.21,2.12,7.09,18.41,16.42,1.99,0.06
