geo_code,total_households,deprived_0,deprived_1,deprived_2,deprived_3,deprived_4,multi_deprived,any_deprived,area_name,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived
W06000002,52473,21019,17843,10633,2717,261,13611,31454,Gwynedd,40.06,34.0,20.26,5.18,0.5,25.94,59.94
W06000003,51177,20030,17308,10892,2696,251,13839,31147,Conwy,39.14,33.82,21.28,5.27,0.49,27.04,60.86
W06000004,40546,15883,13310,8872,2267,214,11353,24663,Denbighshire,39.17,32.83,21.88,5.59,0.53,28.0,60.83
W06000005,63781,27470,20659,12596,2868,188,15652,36311,Flintshire,43.07,32.39,19.75,4.5,0.29,24.54,56.93
W06000006,57029,23339,18021,12080,3350,239,15669,33690,Wrexham,40.92,31.6,21.18,5.87,0.42,27.48,59.08
W06000008,31562,12896,10981,6061,1480,144,7685,18666,Ceredigion,40.86,34.79,19.2,4.69,0.46,24.35,59.14
W06000009,53122,21009,18069,11104,2723,217,14044,32113,Pembrokeshire,39.55,34.01,20.9,5.13,0.41,26.44,60.45
W06000010,78829,29639,25587,18590,4729,284,23603,49190,Carmarthenshire,37.6,32.46,23.58,6.0,0.36,29.94,62.4
W06000011,103497,40501,33016,22539,6955,486,29980,62996,Swansea,39.13,31.9,21.78,6.72,0.47,28.97,60.87
W06000012,60393,20311,18302,16109,5394,277,21780,40082,Neath Port Talbot,33.63,30.3,26.67,8.93,0.46,36.06,66.37
W06000013,58515,22225,17974,13741,4303,272,18316,36290,Bridgend,37.98,30.72,23.48,7.35,0.46,31.3,62.02
W06000014,53505,24064,16928,9817,2486,210,12513,29441,Vale of Glamorgan,44.98,31.64,18.35,4.65,0.39,23.39,55.02
W06000015,142557,60541,44719,27307,9008,982,37297,82016,Cardiff,42.47,31.37,19.16,6.32,0.69,26.16,57.53
W06000016,99663,34591,29900,25755,8876,541,35172,65072,Rhondda Cynon Taf,34.71,30.0,25.84,8.91,0.54,35.29,65.29
W06000018,74479,26218,22373,19379,6124,385,25888,48261,Caerphilly,35.2,30.04,26.02,8.22,0.52,34.76,64.8
W06000019,30416,9051,9242,8828,3098,197,12123,21365,Blaenau Gwent,29.76,30.39,29.02,10.19,0.65,39.86,70.24
